"State","Reading2019","Reading2009","Math2019","Math2009","Reading2019z","Reading2009z","Math2019z","Math2009z","ReadDiffRaw","MathDiffRaw","ReadDiffZ","MathDiffZ","Reading_Rank_2019","Reading_Rank_2009","Reading_Rank_Difference","Math_Rank_2019","Math_Rank_2009","Math_Rank_Difference"
"KY",262.9635373774,266.854019810768,278.100386552262,279.284216093787,0.0957566922609242,0.533949371960825,-0.535559927200142,-0.490211034224296,-3.89048243336805,-1.18382954152497,-0.826797791219581,0.15805690719355,26,33,10,15,16,26
"LA",257.421808574891,253.329004007468,271.644680137411,272.379906697646,-1.11011977523522,-1.73247111093574,-1.63942091067508,-1.40277464994857,4.09280456742297,-0.735226560234992,1.57662449828023,0.28099662018354,7,3,47,3,6,31
"ME",265.168656113462,267.706499608477,282.36862288029,286.361425938805,0.575589049024423,0.676801528504085,0.194265633008383,0.445205360791082,-2.53784349501495,-3.99280305851499,-0.419576733807882,-0.61174269819964,38,38,19,28,32,14
"MD",264.389022442559,267.298056489004,280.14582776331,288.341565298202,0.405941285571267,0.608357700745612,-0.185810015761562,0.706926414957523,-2.90903404644502,-8.19573753489198,-0.531326147911414,-1.76355750949604,34,37,16,22,39,2
"MA",273.113031464996,273.589289718711,294.474574539442,298.854346618482,2.30427979279268,1.6625952751674,2.26426182639631,2.09643276273437,-0.476258253714946,-4.37977207903998,0.20107738023729,-0.717791615178654,50,50,30,50,50,12
"MI",262.579893670719,261.898150017122,280.282357130411,278.268168151681,0.012276079211054,-0.296518035563171,-0.162464864703483,-0.624505187426021,0.681743653596982,2.01418897873003,0.549701649293508,1.03447435294093,23,19,33,23,15,46
"MN",263.813360590386,269.739820132507,290.785141202164,294.443320106986,0.280677652956055,1.01753009776988,1.63340576658788,1.51341394485865,-5.92645954212099,-3.65817890482197,-1.4397424045854,-0.520038899673284,31,42,5,48,49,15
"MS",256.380475226081,251.305654614612,273.728901931209,265.001958154729,-1.33671321293292,-2.07152879299081,-1.28303990893232,-2.37794059525153,5.07482061146899,8.72694377648003,1.87226703858635,2.87410579238092,6,1,49,5,1,50
"MO",263.292024270598,266.876460156868,280.764001089291,285.808001946777,0.16723521972136,0.537709756479701,-0.0801085833039808,0.372057625048546,-3.58443588627,-5.04400085748597,-0.734660418124136,-0.899823609587215,28,34,13,25,29,11
"MT",264.831687514546,270.393925995333,283.959458490694,291.542942879491,0.502264908093164,1.12714024145118,0.466282550848353,1.13006224698043,-5.56223848078702,-7.58348438879705,-1.33009120238903,-1.59576944477635,37,44,6,31,44,3
"NE",263.989105578988,267.067856574245,285.012542020259,284.259093531038,0.318919644505618,0.569782529406919,0.646349261743496,0.167333679003695,-3.078750995257,0.753448489221,-0.582420577767211,0.688968236397955,32,36,15,34,25,39
"NV",258.075061709817,253.84095441963,273.785362545259,274.148541684888,-0.967972331576704,-1.6466823091165,-1.27338571077836,-1.16900877326927,4.23410729018701,-0.36317913962904,1.61916463411957,0.382956270510508,8,4,48,6,8,33
"NH",267.950506818944,270.748158823326,287.222902107093,292.321817220053,1.18091789519775,1.18649991605368,1.02429864520266,1.23300844241243,-2.79765200438197,-5.09891511296001,-0.497793834402229,-0.914872869375068,46,46,17,46,45,10
